iter	Passed	Remaining
0	0	79
1	1	70
2	2	67
3	2	65
4	3	64
5	4	63
6	4	63
7	5	62
8	6	61
9	6	60
10	7	60
11	8	59
12	8	59
13	9	58
14	10	58
15	10	57
16	11	57
17	12	56
18	13	55
19	13	55
20	14	54
21	15	53
22	16	53
23	16	53
24	17	52
25	18	52
26	19	51
27	19	50
28	20	49
29	21	49
30	21	48
31	22	48
32	23	47
33	24	47
34	24	46
35	25	45
36	26	45
37	27	44
38	27	43
39	28	42
40	29	42
41	29	40
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	36
49	35	35
50	36	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	39	30
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	45	23
66	46	22
67	47	22
68	47	21
69	48	20
70	49	20
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	13
81	56	12
82	56	11
83	57	10
84	58	10
85	58	9
86	59	8
87	60	8
88	60	7
89	61	6
90	61	6
91	62	5
92	63	4
93	63	4
94	64	3
95	64	2
96	65	2
97	66	1
98	66	0
99	67	0
